rk,player,age,team,pos,g,mp,bpm,vorp,key,salary,salary_m,band
198,Anfernee Simons,26,2TM,SG,55,1372,-0.1,0.7,anfernee simons,6000000,6,$5-15M
199,Jose Alvarado,27,2TM,PG,69,1370,-1,0.3,jose alvarado,4500000,4.5,Under $5M
200,Malik Monk,27,SAC,SG,62,1364,-1.3,0.2,malik monk,20190035,20.190035,$15-30M
201,Ryan Dunn,23,PHO,SF,70,1355,-0.9,0.4,ryan dunn,2784240,2.78424,Under $5M
202,Josh Okogie,27,HOU,SG,78,1354,-1.2,0.3,josh okogie,6000000,6,$5-15M
203,Kobe Sanders,23,LAC,SG,68,1351,-2.9,-0.3,kobe sanders,2622139,2.622139,Under $5M
204,Derrick Jones Jr.,28,LAC,SF,50,1350,-0.7,0.5,derrick jones,10476190,10.47619,$5-15M
205,Darius Garland,26,2TM,PG,45,1344,-0.2,0.6,darius garland,42166510,42.16651,Over $30M
206,Aaron Nesmith,26,IND,SF,45,1335,-3.4,-0.5,aaron nesmith,11000000,11,$5-15M
207,Kris Murray,25,POR,SF,57,1333,-1.5,0.2,kris murray,5315004,5.315004,$5-15M
208,Stephen Curry,37,GSW,PG,43,1329,5.4,2.5,stephen curry,62587158,62.587158,Over $30M
209,Jordan Miller,26,LAC,SF,60,1325,0.2,0.8,jordan miller,5300000,5.3,$5-15M
210,Drake Powell,20,BRK,SG,63,1320,-6,-1.3,drake powell,3540600,3.5406,Under $5M
211,Jericho Sims,27,MIL,C,67,1318,-3.1,-0.4,jericho sims,2801346,2.801346,Under $5M
212,Dean Wade,29,CLE,PF,59,1318,0.2,0.7,dean wade,9000000,9,$5-15M
213,Isaiah Stewart,24,DET,C,58,1317,0,0.7,isaiah stewart,15000000,15,$5-15M
214,Egor Dëmin,19,BRK,PG,52,1308,-1.6,0.1,egor demin,7233720,7.23372,$5-15M
215,Alex Sarr,20,WAS,C,48,1305,0.7,0.9,alex sarr,12370680,12.37068,$5-15M
216,Yves Missi,21,NOP,C,66,1297,-1.7,0.1,yves missi,3512760,3.51276,Under $5M
217,Nicolas Batum,37,LAC,PF,74,1295,-1,0.3,nicolas batum,5881680,5.88168,$5-15M
218,Ziaire Williams,24,BRK,SF,56,1281,-1.7,0.1,ziaire williams,2449421,2.449421,Under $5M
219,Jordan Clarkson,33,NYK,SG,72,1279,-3.3,-0.4,jordan clarkson,2449421,2.449421,Under $5M
220,Jaylin Williams,23,OKC,PF,65,1277,2.7,1.5,jaylin williams,7774648,7.774648,$5-15M
221,Kevin Porter Jr.,25,MIL,PG,38,1261,2.1,1.3,kevin porter,5390700,5.3907,$5-15M
222,Coby White,25,2TM,SG,50,1249,-1.3,0.2,coby white,22839506,22.839506,$15-30M
223,Collin Murray-Boyles,20,TOR,PF,57,1246,1,1,collin murray boyles,6649560,6.64956,$5-15M
224,Nolan Traoré,19,BRK,PG,56,1243,-6.8,-1.5,nolan traore,4002000,4.002,Under $5M
225,Adem Bona,22,PHI,C,71,1234,-2.9,-0.3,adem bona,2296271,2.296271,Under $5M
226,Andre Drummond,32,PHI,C,63,1231,-0.6,0.4,andre drummond,2449421,2.449421,Under $5M
228,Zach LaVine,30,SAC,SG,39,1224,-1.5,0.2,zach lavine,48967380,48.96738,Over $30M
229,Jordan Walsh,21,BOS,PF,68,1212,0.2,0.7,jordan walsh,2406205,2.406205,Under $5M
230,Jaxson Hayes,25,LAL,C,66,1207,1.2,1,jaxson hayes,6000000,6,$5-15M
231,Joel Embiid,31,PHI,C,38,1201,4.9,2.1,joel embiid,58100000,58.1,Over $30M
232,Marvin Bagley III,26,2TM,PF,60,1201,0.8,0.8,marvin bagley,2449421,2.449421,Under $5M
233,Santi Aldama,25,MEM,PF,43,1198,1.7,1.1,santi aldama,17007043,17.007043,$15-30M
234,Daniel Gafford,27,DAL,C,55,1195,0.7,0.8,daniel gafford,17263584,17.263584,$15-30M
235,Danny Wolf,21,BRK,PF,57,1187,-2.5,-0.2,danny wolf,2941440,2.94144,Under $5M
236,Jimmy Butler,36,GSW,SF,38,1182,5.5,2.3,jimmy butler,56832773,56.832773,Over $30M
237,Mouhamed Gueye,23,ATL,PF,77,1179,-1.3,0.2,mouhamed gueye,2406205,2.406205,Under $5M
238,GG Jackson II,21,MEM,PF,55,1178,-1.2,0.2,gg jackson,2406205,2.406205,Under $5M
239,Bones Hyland,25,MIN,PG,71,1177,1.7,1.1,bones hyland,2845883,2.845883,Under $5M
240,De'Andre Hunter,28,2TM,SF,45,1176,-3.9,-0.6,deandre hunter,24910714,24.910714,$15-30M
241,Mitchell Robinson,27,NYK,C,60,1175,3.5,1.6,mitchell robinson,15044000,15.044,$15-30M
242,Simone Fontecchio,30,MIA,SF,70,1173,0.5,0.7,simone fontecchio,2449421,2.449421,Under $5M
243,Ryan Nembhard,22,DAL,PG,60,1171,-4.1,-0.6,ryan nembhard,2150917,2.150917,Under $5M
244,Landry Shamet,28,NYK,SG,51,1171,-0.3,0.5,landry shamet,5357143,5.357143,$5-15M
245,Day'Ron Sharpe,24,BRK,C,62,1160,1.4,1,dayron sharpe,10000000,10,$5-15M
246,Jared McCain,21,2TM,SG,67,1160,-2.4,-0.1,jared mccain,4422600,4.4226,Under $5M
247,Quinten Post,25,GSW,PF,67,1159,-1.1,0.3,quinten post,8285714,8.285714,$5-15M
248,Svi Mykhailiuk,28,UTA,SF,50,1156,-1.7,0.1,svi mykhailiuk,3850000,3.85,Under $5M
249,Caris LeVert,31,DET,SG,60,1154,-0.4,0.5,caris levert,14809200,14.8092,$5-15M
250,Jakob Poeltl,30,TOR,C,46,1149,1.6,1,jakob poeltl,19500000,19.5,$15-30M
251,Craig Porter Jr.,25,CLE,PG,64,1148,2,1.2,craig porter,2406205,2.406205,Under $5M
252,Gary Payton II,33,GSW,SG,73,1142,1.9,1.1,gary payton,2449421,2.449421,Under $5M
